normalized_text;aspect
program benar tetapi  kurang tepat memang benar menciptakan lapangan bekerja tetapi  mengurangi pendapatan pedagang di sekitar memang benar orang tua tidak begitu banyak mengeluarkan uang camilan tetapi anak dapat potensi keracunan karena pengolahan bahan makanlah nan benar lebih baik per satu minggu murid di memberikan beras 5 kilogram telur 1 kilogram buah 1 kilogram gula 1 kilogram;Ketidaksetujuan dan Risiko Program
itu anak manusia jangan dijadikan bahan percobaan program mbg yang banyak menelan korban seharusnya program mbg telah teruji secara klinis dan biologis baru diluncurkan kepada masyarakat;Ketidaksetujuan dan Risiko Program
sebentar sebentar yang menerima manfaat sebenarnya siapa sih jelas bertanya ini siswa merasa malahan tidak adanya pengaruh sih melihat menunya juga terkadang membuat ketawa justru yang memaksa mbg jalan itu siswa kah atau dewan perwakilan rakyat badan gizi nasional;Ketidaksetujuan dan Risiko Program
nol telur;Ketidaksetujuan dan Risiko Program
bapak ingin biarkan kalau keracunan kalau setiap hari kami setiap hari makanlah bapak walaupun beras mahal menghentikan saja anak anak ketakutan;Pelaksanaan Program di Sekolah
sehat selalu ya bapak prabowo presiden kita merdeka;Dukungan terhadap Program
yang smp di telinganya nol 017 yang berbeda banyak yang disembunyikan habis rezim yang meracuni generasi penerus bangsa;Ketidaksetujuan dan Risiko Program
aduh bapak kan negeri ini bapak pemimpinnya menjadi  apa yang bapak mengatakan itu yang dilakukan sehat terus bapak;Dukungan terhadap Program
nyaah bapak abdi menjadi micenan saja uang saku mubazir ada anak ini alimen tidak emam orang juga  alim ada eweh rasaan;Pelaksanaan Program di Sekolah
tidak rata mendapatnya masih banyak yang tidak mendapat;Ketidaksetujuan dan Risiko Program
tetapi  yang keracunan itu yang tanggung jawab siapa bapak;Ketidaksetujuan dan Risiko Program
pengelolaan mbg harus memasak di sekolah lebih aman dan terjamin dari sama-sama memasak di satu tempat lalu didistribusikan kepada bersekolah tentu memakan waktu maka makanan menjadi  basi;Pelaksanaan Program di Sekolah
terima kasih bapak bersemangat;Dukungan terhadap Program
lanjut;Ketidaksetujuan dan Risiko Program
lanjutkan bapak agar kata sekolahan anak saya tidak mendapat tetapi  saya mendukung program bapak;Pelaksanaan Program di Sekolah
bila nyawa melayang karena mbg mengapa program itu diteruskan agar nol 017 itu nyawa manusia bapak bukan nyawa hewan;Ketidaksetujuan dan Risiko Program
lebih baik memberikan uangnya kepada orang tuanya kerjasama sama bersekolah setiap murid di wajibkan membawa makanlah dan minum dari rumah guru wajib memeriksa pagi hari makanlah dan minum yang di membawa siswa dari rumah sama-sama saat sambut siswa siswa juga dapat berbagi makanan dengan teman saling menukar merasa lauk nya lebih mandiri lebih aman dari keracunan ekonomi akan berjalan dengan baik karena orang tua membeli bahan bahan untuk makanan dari warung kecil dekat tempat beliau tinggal sehingga sistem distribusi produk akan menghidupkan ekonomi daya membeli meningkatkan ini bukan hanya tentang pendidikan tetapi  juga tentang melatih kebiasaan dan kemandirian siswa sekaligus membangkitkan ekonomi yang hari ini terasa lesu karena daya membeli masyarakat turun dana benar tersalurkan berkumpul di titik mbg;Ketidaksetujuan dan Risiko Program
tetapi  bapak tahu di proyek mbg ini menjadi  ladang mengorupsi;Ketidaksetujuan dan Risiko Program
saya ingin bertanya bapak prabowo apakah keponakan atau anak-anak keponakan mr presiden setiap hari makanlah gratis siang tolong dong tunjukkan videonya;Pelaksanaan Program di Sekolah
karena mbg masih sangat baru bagi kita semua maklum adanya kekurangan semoga semua akan lebih baik dari pengalaman dari kekurangan dan kesalahan setuju teruskan mbg karena sangat berguna bagi yang sangat membutuhkan;Ketidaksetujuan dan Risiko Program
ya bapak prabowo saya miya jangan di lanjutkan menghentikan saja makanan mbg nya;Dukungan terhadap Program
bersekolah saya belum bapak;Pelaksanaan Program di Sekolah
gaspol mbg saya merasa terbantu perekonomian dapat bekerja;Ketidaksetujuan dan Risiko Program
memberi uang ya saja;Ketidaksetujuan dan Risiko Program
kenapa makanlah gratis sih bapak tidak diberikan makan kita masih dapat makanlah mengapa kenpa tidak pendidikan gratis saja sih lebih penting;Pelaksanaan Program di Sekolah
bapak anak saya sudah mendapat mengapa masih paud lokasi pelosok kamu padahal daerah tuban ini;Ketidaksetujuan dan Risiko Program
menghentikan prabowo program mbg;Ketidaksetujuan dan Risiko Program
memperkaya kroni-kroni;Dukungan terhadap Program
mbg makanlah beracun gratis sangat bermanfaat untuk rumah sakit untuk mendapat pasien;Pelaksanaan Program di Sekolah
mbg lanjutkan tetap bersemangat bapak presiden;Dukungan terhadap Program
lanjutkan bapak melewati orang-orang itu;Pelaksanaan Program di Sekolah
terkadang ppg nya yang mencari untung besar tidak memikirkan keselamatan anak-anak;Pelaksanaan Program di Sekolah
mana bapak bersekolah saya belum mendapat mbg ini;Ketidaksetujuan dan Risiko Program
kalau saya sih tidak menyalahkan siapa tetapi  kagetnya mengapa dapat ya katanya makanan itu bergizi tetapi  mengapa menjadi banyak yang keracunan;Pelaksanaan Program di Sekolah
lanjutkan presiden dengan banyak evaluasi evaluasi drpada uang diambil koruptor;Ketidaksetujuan dan Risiko Program
ketika strategi perang diterapkan di mbg;Ketidaksetujuan dan Risiko Program
turun ke Bawah bapak mencicipi mbg yang keracunan mungkin bapak kebal jangan di jadikan rakyat perbandingan bapak;Ketidaksetujuan dan Risiko Program
hanya di terima bagaimana bapak nek tidak di makanlah tidak apa-apa ya atut;Dukungan terhadap Program
sekarang bapak bicara begitu kalau kejadian itu terulang lagi nanti bapak bicara nol koma lagi kah;Ketidaksetujuan dan Risiko Program
lagi berproses bukan programnya tetapi oknumnya tetapi bapak mengapa membeli bbm sulit bapak;Ketidaksetujuan dan Risiko Program
kalau mbg di berhentikan diganti spp gratis pasti ibu akan aman;Ketidaksetujuan dan Risiko Program
ado bapak mengorupsi nx merajalela bapak coba anda turun sendiri di jawa timor probolinggo pakuniran;Ketidaksetujuan dan Risiko Program
walaupun hanya nol 17 tetapi taruhannya nyawa anak bangsa bapak jangan di anggap ringan lo bapak prabowo;Pelaksanaan Program di Sekolah
manfaat apa bapak di luar dari keracunan makanan menjaga banyak yang mubazir tidak di makanlah sama murid lebih baik anggaran nya di alihkan kan untuk biaya pendidikan gratis bukan mbg yang tidak gna;Ketidaksetujuan dan Risiko Program
itu nyawa bapak bukan barang;Ketidaksetujuan dan Risiko Program
yang berbeda mendapat untung mbg mendapat pekerjaan mendapat makanan pula yang bekerja gajinya besar yang anaknya sekolah bisa hemat sini mendapat imbasnya apa-apa menaikkan tidak turut bekerja;Ketidaksetujuan dan Risiko Program
kami belum makanlah gratis bapak prabowo;Pelaksanaan Program di Sekolah
tetapi  menyusahkan pedagang kecil seperti berjualan keliling di bersekolah;Pelaksanaan Program di Sekolah
benar bapak presiden kekurangan itu hal biasa bapak tidak benar sehat sehat bapak;Dukungan terhadap Program
bapak tolong jangan berhentikan  mbg saya dapat menabung cuak kita hitung nol 017 alhamdullilah tidak di pedulliin dong yang persentase paling rendahnya demi manfaat masing masing dapur mbg yang kebanyakan  menguntungkan satu pihak;Ketidaksetujuan dan Risiko Program
yang sama bukan kamu bapak tetapi  yang memasak niat bapak telah baik tinggal memperbaiki yang harus di perbaiki bapak;Pelaksanaan Program di Sekolah
bapak prabowo turun langsung kepada sekolah sekolahan kebanyakan anak anak sama-sama menolak makanannya banyak sisa dan dibagikan kepada pedagang sekolahan;Pelaksanaan Program di Sekolah
lanjutkan makan bergizi;Pelaksanaan Program di Sekolah
sdn malaka sari 03 jakarta di tanggal satu 10 2025 tolong selidiki bapak masa makanan sd seperti begini bapak;Ketidaksetujuan dan Risiko Program
henti kan mbg bapak;Ketidaksetujuan dan Risiko Program
bapak jangan di berhentikan kasihan pekerja nya lebih baik di evaluasi dan di perbaiki;Ketidaksetujuan dan Risiko Program
lebih baik di menghentikan bapak karena tidak semua juga bersekolah mendapat;Ketidaksetujuan dan Risiko Program
mbg juga masakan nya merasa nya banyak yang hambar tidak adanya merasa dan berlendir terkadang basi;Pelaksanaan Program di Sekolah
tidak hormat sama sekali sama perkataanmu prabowo;Ketidaksetujuan dan Risiko Program
anies yang benar;Pelaksanaan Program di Sekolah
amin bersemangat proses;Dukungan terhadap Program
lombok tidak adanya yang keracunan bapak presiden;Dukungan terhadap Program
bapak kalau dapat mbg nya di adanya kan langsung buka kantin di bersekolah seperti di negara cina anak yang mengambil sesuai porsi nya menjadi  tidak mubazir;Ketidaksetujuan dan Risiko Program
alhamdulillah sangat bermanfaat program ini bersemangat terus bapak presiden jangan hiraukan orang yang tidak menyukai dengan program ini;Dukungan terhadap Program
adanya presiden takut dengan rakyatnya sendiri yang duduk di dewan perwakilan rakyat;Ketidaksetujuan dan Risiko Program
tolong bapak cukup bapak turunkan harga beras menjadi  50 cukup kami orang tua yang memberikan makanlah anak anak kami;Pelaksanaan Program di Sekolah
mungkin di sekolah-sekolah perlu adanya uks dan pelatihan tindakan pertama bagi anak-anak yang mungkin keracunan jangan hanya fokus kepada bagi makanlah saja tetapi  pegawai pemerintah dengan perjanjian kerja juga perlu disiapkan tenaga medisnya yang homorer2 nya dititip kepada uks bersekolah agar terserap agar semakin cepat penanganannya;Ketidaksetujuan dan Risiko Program
jangan dibandingkan satu nyawa manusia bapak satu pun nyawa manusia tidak dapat dibandingkan bapak;Ketidaksetujuan dan Risiko Program
telah terlanjur jalan proyeknya bapak bos kasihan bandar2nya bangkrut;Ketidaksetujuan dan Risiko Program
pengawasan harus tetap dijalankan dalam program mbg sebelum di konsumsi dan tempat di mana mbg yang di tunjuk karena banyak teroris yang tidak menginginkan indonesia maju;Ketidaksetujuan dan Risiko Program
kami tidak setuju kalau bapak ingin menghentikan mbg;Ketidaksetujuan dan Risiko Program
saya sangat berharap mbg di diganti dengan uang sembilan bahan pokok;Ketidaksetujuan dan Risiko Program
di sekolahan anak saya belum adanya;Pelaksanaan Program di Sekolah
program mubazir hanya bagi-bagi uang untuk pendukung kamu saja tim sukses dan lain-lain;Dukungan terhadap Program
benar bapak teruskan karena mbg membuka lapangan bekerja dan memberi makanan kepada yang anak tidak mampu mengenai keracunan menyalahkan yang memasak di usut;Pelaksanaan Program di Sekolah
alhamdulillah anak saya  smk dua belum mendapat lebih baik bawah bekal dari sama-sama banyak yang keracunan lebih baik bawah bekal dari rumah;Pelaksanaan Program di Sekolah
waspada adanya yang tidak setuju dengan mbg berharap bin bergerak;Ketidaksetujuan dan Risiko Program
seharusnya kita sadar anak yang diracun tidak tahu apa apa beliau tahunya makanlah lezat bergizi bapak presiden tidak benar ini adanya yang tidak selesai bapak;Pelaksanaan Program di Sekolah
di sini belum adanya bapak anak saya belum pernah mendapat;Pelaksanaan Program di Sekolah
proyek presiden pastinya sangat menguntungkan untuk;Ketidaksetujuan dan Risiko Program
lanjutkan mbg terima kasih bapak prabowo subianto presiden saya semoga bapak presiden sehat selalu amin;Dukungan terhadap Program
seberapa pun persennya itu nyawa kamu bapak presiden;Ketidaksetujuan dan Risiko Program
tidak usah adanya bantuan bapak asalkan listrik bbm murah jalan sangat baik semua negara aman;Ketidaksetujuan dan Risiko Program
yang lezat yang bekerja bapak mendapatkan gaji;Ketidaksetujuan dan Risiko Program
mendengar itu yang sering koar menyalahkan bapak presiden;Pelaksanaan Program di Sekolah
tahi;Ketidaksetujuan dan Risiko Program
mendapat makan dari mbg membuat perhatian orang tua nya karena sana sini sudah banyak yang korban keracunann ingin di membuat apa lagi masyarakat ini heran saya sma presiden ini;Pelaksanaan Program di Sekolah
tetapi  kalau yang keracunan itu ya takut sekali ingin makanlah lagi;Pelaksanaan Program di Sekolah
lanjutkan saja bapak banyak orang yang terbantu orang yang bekerja menjaga di mbg;Pelaksanaan Program di Sekolah
iya kenapa presiden yang di salahiinn itu memang adanya orang yang nyinyir saja menaruh  racun di makanan atau yang memasak nya teledor;Pelaksanaan Program di Sekolah
bujet memang 15 ribu rupiah tetapi itu kan sudah termasuk untuk pengelola untuk pegawai opersional ya bahan makanan memang 10 ribu rupiah memang tidak diitung opersional dan yang mengerjakannya jangan diterima bulat bulat anggaran 15 ribu rupiah hanya untuk makanan saja wow;Ketidaksetujuan dan Risiko Program
anak saya mendapat makan gratis dari bersekolah ikannya sama-sama bau busuk yang sudah  lama mati disajikan ke anak murid mana adanya tangapannya;Pelaksanaan Program di Sekolah
jangan diberhentikan bapak kami di sini anak senang dengan adanya mbg;Ketidaksetujuan dan Risiko Program
tidak penting bapak makanlah gratis itu hanya urusan perut saja negara kita tidak adanya yang kelaparan yang penting itu bermutu pendidikan dan kesehatan gratis;Pelaksanaan Program di Sekolah
alhamdulillah;Dukungan terhadap Program
berarti kalau sudah  adanya korban meninggal juga  masih lanjut bapak;Ketidaksetujuan dan Risiko Program
mengapa di daerah sumatra hampir belum adanya mbg daerah mana ya yang terima sebanyak itu;Dukungan terhadap Program
mbg lanjutkan tetapi teknis nya dirubah berikan uang nya kepada orang tua lebih aman dan efektif insya allah;Ketidaksetujuan dan Risiko Program
alhamdulillah  anak saya yang terima mbg nya ayam saya yang sehat;Dukungan terhadap Program
kalau yang tidak ingin ya porsi tinggal dikurangi uangnya ditabung dapat negara sehari 15 ribu rupiah setahun mendapat 150x25x12 empat 5 juta boleh diambil asalkan untuk biaya kuliah karena adanya yang lebih memilih tahan lapar agar bisa kuliah;Ketidaksetujuan dan Risiko Program
terima kasih bapak presiden semoga bapak di berikan sehat walafiat;Dukungan terhadap Program
diganti proses memasak di setiap sekolahan seperti prasmanan insya allah fress dan tidak mudah basi;Pelaksanaan Program di Sekolah
assalamualaikum bapak lebih baik mbg di berhenti saja langsung jangan lama-lama lagi lebih baik di diganti saja sma program berbeda;Ketidaksetujuan dan Risiko Program
di diganti uang saku saja bapak kasihan niat baik akhirnya ternodai;Pelaksanaan Program di Sekolah
mana istri saya hamil tidak mendapat apa-apa tidak berharap lah;Ketidaksetujuan dan Risiko Program
zhabita sannyy jepang baru menstabilkan sistem makanlah siang bersekolah dengan kualitas baik setelah 20 tahun tiongkok membutuhkan 5 10 tahun inggris 40 tahun brasil 50 tahun india 15 tahun mash banyak negara berbeda dengan pola yang sama hampir semua negara membutuhkan lebih dari satu dekade sebelum program makanlah bergizi benar benar stabil dan efektif di indonesia program baru berjalan beberapa bulan telah ramai memprotes tanpa memberi kesempatan sama-sama pemerintah untuk belajar memperbaiki dan menyempurnakan sistemnya ternyata sumber daya manusia kita hampir rendah semua dari pejabat sampai rakyat sehat selalu bapak biarkan anjing menggonggong kafilah berlalu;Ketidaksetujuan dan Risiko Program
lebih baik di diganti uang;Ketidaksetujuan dan Risiko Program
lanjut bapak;Ketidaksetujuan dan Risiko Program
mencoba di melihat dengan benar-benar bapak di makan tidak makanan nya malahan adanya yang terbuang karena takut keracunan;Pelaksanaan Program di Sekolah
lanjutkan dengan pengawasan yang ketat;Ketidaksetujuan dan Risiko Program
presiden berbicara berbicara;Pelaksanaan Program di Sekolah
yang kasus keracunan kemarin juga ibu nya dapat menabung tetapi sekali keracunan habis itu tabungan;Pelaksanaan Program di Sekolah
asalamualaikum semoga lancar bapak presiden salam dari kotalahat anak saya tiga bersekolah semua tk sd sma semoga sampai di rakyat yang membutuh kan kota lahat sum sel;Dukungan terhadap Program
lanjutkan bapak al hamdulillah adanya manfaat nya;Dukungan terhadap Program
sudah  tahu mbg adanya sengkuni malahan elu bukanny brantas mlaah lugu saja;Ketidaksetujuan dan Risiko Program
bapak prabowo katanya adanya makanlah gratis di sini di dorang mengapa tidak adanya;Pelaksanaan Program di Sekolah
anak saya tidak pernah di makan;Pelaksanaan Program di Sekolah
ibu menyusui tidak setiap hari kok bapak setiap hari senin dan kamis untuk nasi dan sisa nya makanan kering;Pelaksanaan Program di Sekolah
bapak presiden mohon berikan ibu nya uang;Ketidaksetujuan dan Risiko Program
jangan di berhentikan bapak di diganti beras karena beras bantuan social yang mendapat pasti berbeda orang;Ketidaksetujuan dan Risiko Program
menu gizi yang di beri mbg sama saja yang di memberikan sehari hari kepada anak saya malahan saya tidak was was karena lebih di perhatikan higienis nya;Pelaksanaan Program di Sekolah
mbg makanlah yang keracunan mengapa bukan di berhenti bukan uangnya dialihkan kepada yang berbeda;Ketidaksetujuan dan Risiko Program
lanjutkan mbg;Ketidaksetujuan dan Risiko Program
memberikan saja uangnya;Ketidaksetujuan dan Risiko Program
satu nyawa saja itu berharga walaupun dari keluarga miskin bapak junjung tinggi hak asasi manusia;Ketidaksetujuan dan Risiko Program
mencoba memberikan tahu dahulu saya apa sudah  adanya korban mati sejauh ini adanya apa tidak kok tl;Pelaksanaan Program di Sekolah
itu bukan bergizi memasak giizinya racun itu bahaya;Pelaksanaan Program di Sekolah
berhentikan saja mbg;Ketidaksetujuan dan Risiko Program
bapak kemarin menu di bersekolah saya telur tahu sama jagung tetapi  telur nya adanya belatung nya sama jagung nya adanya ular kecil nya;Pelaksanaan Program di Sekolah
bapak presiden tidak benar bapak;Dukungan terhadap Program
alhamdulillah kalau mbg tetap terus berlanjut karena saya benar satu relawan mbg bapak;Dukungan terhadap Program
bapak saya tidak menyalahkan bapak saya sebagai orang tua korban anak yang keracunan dari program mbg menginginkan kasus ini di usut tuntas mengenai nya ini menyangkut nyawa tidak dapat main main anak saya bersekolah di smp pgri kadungora kabupaten garut jawa barat;Pelaksanaan Program di Sekolah
yang orang tuanya meminta uang saja jangan makanan tetap uangnya ingin di menggunakan untuk pembayaran mekaar wkwkwkwkw;Pelaksanaan Program di Sekolah
salahnya memasaknya jam 11 malam bukan jam 5 subuh kalau memasaknya jam 11 malam siangnya ya basi bapak kalau jam 5 subuh kan siang tidak basi;Pelaksanaan Program di Sekolah
nyawa anak-anak hanya angka di mata bajingan tolol ini;Ketidaksetujuan dan Risiko Program
bapak harus melihat kepada lapangan;Ketidaksetujuan dan Risiko Program
banyak yang keracunan betulkah saking banyak nya tikus makanan hanya sedikit;Pelaksanaan Program di Sekolah
istri saya kalau hamil terus dapat mbg saya tidak akan memberikan makanlah mbg untuk istri saya;Ketidaksetujuan dan Risiko Program
aduh berpikir keras;Pelaksanaan Program di Sekolah
mencoba kamu ini program jokowi pasti sudah  sama-sama demonstrasi mengadili jokowi berhubung sekarang pembenci jokowo sekawan sama prabowo menjadi tidak adanya yang demonstrasi;Dukungan terhadap Program
nyawa orang jangan di anggap sepele;Pelaksanaan Program di Sekolah
menghentikan mbg banyak yang keracunan;Ketidaksetujuan dan Risiko Program
bersekolah saya belum bapak sedangkan sekolah-sekolah di sekitar saya sudah  mendapat;Pelaksanaan Program di Sekolah
mencoba program mbg nya di diganti sama spp gratis setiap bersekolah daripada semakin banyak korban keracunan karena oknum yang mengelola mbg;Ketidaksetujuan dan Risiko Program
kok saya yang hamil tidak mendapat bapak presiden;Ketidaksetujuan dan Risiko Program
anak-anak juga hanya pilih-pilih bapak;Pelaksanaan Program di Sekolah
kuras terus apbn;Ketidaksetujuan dan Risiko Program
makanan basi;Pelaksanaan Program di Sekolah
lah lebih baik di bagikn uangnya kepada murid;Ketidaksetujuan dan Risiko Program
sama seperti kecelakaan pesawat probabilitas nya kecil sekali tetapi  kalau menyangkut nyawa tetap penting ini mbg kasus keracunan sudah  lebih dari 10 masih saja dianggap angka saja lebih heran lagi sama pendukungnya yang fanatik;Ketidaksetujuan dan Risiko Program
tinggal di memberikan uang nya sama ibunya kok repot agar ibunya saja yang memasak;Pelaksanaan Program di Sekolah
karena adanya program makanlah sehat saya sangat terbantu alhamdulillah anak saya sangat senang dengan makanlah gratis di sekolahnya dan alhamdulillah;Dukungan terhadap Program
alhamdulillah mbg nya lezat bapak prabowo terima kasih;Dukungan terhadap Program
rakyat yang memprotes itu sadar tidak anda termakan narasi koruptor yang sasaran korupsinya berkurang karena di alokasikan kepada mbg;Ketidaksetujuan dan Risiko Program
uang negara untuk memberikan makanlah anak bersekolah mengapa adanya yang memprotes adanya udang di kembali batu tidak itu ingat dahulu waktu sd tidak mendapat uang saku karena orang tua tidak mampu jam 11 perut telah keroncongan hei yang memprotes uang terus-menerus yang kamu pikirkan dananya sulit di korupsi ya;Pelaksanaan Program di Sekolah
saya memiliki anak balita tetapi tidak mendapat apa-apa;Ketidaksetujuan dan Risiko Program
bapak sekolahan saya belum mendapat bapak tolong;Pelaksanaan Program di Sekolah
berkaitan dengan nyawa masih bangga bicara persentase;Ketidaksetujuan dan Risiko Program
iya lanjut terus bapak;Ketidaksetujuan dan Risiko Program
angka yang bapak mengatakan hanya telah menyebabkan ribuan anak trauma mereka selama bersekolah baru sekali ini keracunan presiden kok hanya melihat angka utamakan keselamatan atau embah sulit ya meminta maaf kepada anak-anak satu anak sangat berharga;Pelaksanaan Program di Sekolah
its my dream jangan macam-macam kalian ini 99 99 berhasil abaikan yang pada keracunan itu hanya nol 017 kalian harus menurut saya;Ketidaksetujuan dan Risiko Program
memberikan saja 300 sebulan bapak lumayan untuk diganti angkutan kota camilan sisa nya dapat menabung kalau mbg ini rentan korupsi juga ;Ketidaksetujuan dan Risiko Program
di desa kami atau kecamatan kami belum adanya itu bapak;Pelaksanaan Program di Sekolah
terus berapa juta orang yang bagi yang mengorupsi;Ketidaksetujuan dan Risiko Program
ya lebih baik uang;Ketidaksetujuan dan Risiko Program
nah benar yang seharusnya di diganti yang mengelola mbg nya kalau sudah  adanya yang keracunan dong bukan malahan mbg nya berhenti sangat baik sekali mengapa program mbg ini sangat meringankan para ibu rumah tangga yang masih serba kekurangan seperti saya;Ketidaksetujuan dan Risiko Program
setuju  bapak;Ketidaksetujuan dan Risiko Program
anggaran nya besar makanan yang di sajikan tidak sesuai;Ketidaksetujuan dan Risiko Program
ibu hamil tidak mendapat apa-apa;Ketidaksetujuan dan Risiko Program
berhenti saja bapak;Ketidaksetujuan dan Risiko Program
belum 10 yang mati;Ketidaksetujuan dan Risiko Program
lebih baik pendidikan gratis dan kesehatan gratis daripada makanlah gratis;Pelaksanaan Program di Sekolah
bapak bos mbg itu di jakarta sini semestinya  tidak usah lah karena itu makanan narapidana gratis anak anak tidak menyukai;Pelaksanaan Program di Sekolah
tahi;Ketidaksetujuan dan Risiko Program
membubarkan mbg;Ketidaksetujuan dan Risiko Program
bapak saya ingin lapor anak saya tk menunya masa di memberikan mi itu tidak sehat di rumah saja di kurangilah makanlah mi;Pelaksanaan Program di Sekolah
wah;Ketidaksetujuan dan Risiko Program
cara pengolahan benar pasti nya di memasak di kantin-kantin bersekolah masing-masing kalau di dapur mbg jelas korupsi nya luar biasa;Ketidaksetujuan dan Risiko Program
mbg kawal terus jangan hapus bapak prabowo;Dukungan terhadap Program
alhamdulillah anak saya tidak mendapat yang penting di jatah dari allah setiap hari;Pelaksanaan Program di Sekolah
pengawasan bapak yang perlu ditegaskan setiap dapur mbg karena adanya musuhmu yang ingin goleng kan menjadi  penyusup melalui dapur mbg yang menyebar racun bekerja dan;Ketidaksetujuan dan Risiko Program
sudah bencana terus adanya saja makan gratis lebih baik memberi uagy saja;Pelaksanaan Program di Sekolah
hah setiap hari kok di sekolah desa saya belum ada mbg;Ketidaksetujuan dan Risiko Program
6 nol itu orang lo bapak;Ketidaksetujuan dan Risiko Program
berhenti mbg ladang mengorupsi dan banyak keracunan makanan;Ketidaksetujuan dan Risiko Program
jangan dahulu berhenti di sekolah saya belum adanya mbg;Ketidaksetujuan dan Risiko Program
memohon sama-sama bapak prnowo batu untuk berobat terima kasih;Ketidaksetujuan dan Risiko Program
mbg nya membuat setiap dapur di bersekolah masing masing;Ketidaksetujuan dan Risiko Program
mencoba di diganti proses memasaknya di sekolahan dan setiap bersekolah buka lapangan bekerja untuk memasak mbg agar tidak sama-sama keracunan;Pelaksanaan Program di Sekolah
hehe yang laporan ya bodoh;Dukungan terhadap Program
anak orang keracunan malahan disepelekan parah;Pelaksanaan Program di Sekolah
nol;Ketidaksetujuan dan Risiko Program
di bersekolah anak saya di membuang;Pelaksanaan Program di Sekolah
tolong menghentikan;Ketidaksetujuan dan Risiko Program
ketua badan gizi nasional nya saja klan aburame;Ketidaksetujuan dan Risiko Program
agar hanya nol koma tetapi  itu tetap nyawa manusia lo bapak;Ketidaksetujuan dan Risiko Program
menunggu berapa persen membuat anak anak trauma;Pelaksanaan Program di Sekolah
mbg ladang korupsi bagi yang mengelola reel;Ketidaksetujuan dan Risiko Program
dana itu lebih efektif untuk biaya pendidikan bapak hal makanlah saya merasa sekarang tinggal beberapa persen saja yang kurang;Ketidaksetujuan dan Risiko Program
bersekolah kami belum mendapat bapak;Pelaksanaan Program di Sekolah
itu anggaran banyak untuk mbg lantas setelah meraka lulus apa harus menjadi  pengangguran anak bangsa juga menginginkan memiliki masa depan bapak;Ketidaksetujuan dan Risiko Program
banyak anomali akun nya yang membenci bapak prabowo;Dukungan terhadap Program
bapak di sini baru saja adanya keracunan lagi lokasi kadungora garut bapak;Ketidaksetujuan dan Risiko Program
saya ibu hamil bapak tidak adanya itu bantuan untuk ibu hamil di daerah saya biskuit ibu hamil pun sekarang tidak adanya;Ketidaksetujuan dan Risiko Program
oke;Ketidaksetujuan dan Risiko Program
lebih baik memberikan uang camilan anak-anak saja setiap bulan seperti pip;Pelaksanaan Program di Sekolah
anak saya sekolah sd tidak pernah mendapat;Pelaksanaan Program di Sekolah
semenjak beliau menjabat negara kita sudah hancur;Ketidaksetujuan dan Risiko Program
ceria saja bapak;Ketidaksetujuan dan Risiko Program
tidak perlu makanan gratis;Pelaksanaan Program di Sekolah
manfaat untuk siapa banyak yang keracunan;Ketidaksetujuan dan Risiko Program
iya bapak jangan berhenti jangan di diganti diganti uang apa-apa itu takut tidak sampai terima kasih bapak prabowo;Ketidaksetujuan dan Risiko Program
mantap;Ketidaksetujuan dan Risiko Program
bagi orang tua yang tidak ingin anaknya mendapat mbg tinggal bicara kepada gurunya untuk di data;Pelaksanaan Program di Sekolah
gas;Dukungan terhadap Program
oke gas oke gas oke gas sabar ya;Dukungan terhadap Program
yang kuat ya bapak;Dukungan terhadap Program
setiap hari anak saya mendapat makan basi bapak masa iya harus di makanlah bukan mendapat gizi yang baik bapak kalau makan basi di makanlah;Pelaksanaan Program di Sekolah
tidak ingin kalah walaupun adanya korban kalau menurut saya tidak efektif tidak perlu adanya mbg;Ketidaksetujuan dan Risiko Program
daerahku belum mendapat atau tidak mendapat menjadi  aman tidak adanya mbg saya di trans kalimantan tengah;Dukungan terhadap Program
satu kamu lagi berbaring dua kamu menggulir komentar tiga kamu bertemu komentar saya empat kamu membaca dalam hati 5 terus sukai komentar saya;Dukungan terhadap Program
bersemangat bapak presiden;Dukungan terhadap Program
sekali lagi tolong menghentikan kasihan orang tua dari anak-anak bersekolah itu;Pelaksanaan Program di Sekolah
kalau telah program yang di trap kan membuat kacau tolong segera menghentikan;Dukungan terhadap Program
alhamdulillah bapak terima kasih banyak telah dibantu anak dua kami diberikan makanlah sehat bergizi gratis alhamdulillah anak dua menyukai;Pelaksanaan Program di Sekolah
agar lebih banyak lagiahasis whatsapp yang keracunan iya kan bapak sadar lah usia kita telah di peng hujung jalan  ber tobatlaj ber untuk baik sama-sama sesama;Dukungan terhadap Program
memberikan uangnya saja bapak per siswa berapa itu;Ketidaksetujuan dan Risiko Program
makanan bergizi gratis makanan beracun gratis;Pelaksanaan Program di Sekolah
mengapa mengapa keracunan bapak;Pelaksanaan Program di Sekolah
jangan berhenti bapak ini membuka lapangan pekerjaan untuk yang menganggur seperti ibu rumah tangga bapak;Ketidaksetujuan dan Risiko Program
bapak presiden mohon maaf jangan sampai di berentiin di kampung saya baru ingin mulai dan saya turut bekerja bagian masak  nyh saya sangat  membutuhkan pekerjaan ini untuk  biaya  anak;Ketidaksetujuan dan Risiko Program
mbg sangat bermanfaat;Ketidaksetujuan dan Risiko Program
